,title,company,salary,summary
68,"Software & Data Licensing Analyst, Remote",Liberty Mutual Insurance,"$90,000 - $115,000 a year","Experience in data and analytics technologies as well as insurance and market data is a plus. Receives, evaluates and responds to data-related inquiries by…"
69,Data Specialist,YipitData,,Be the primary owner running or building new data products end-to-end from data ingestion or web scraping through publishing reports and sending granular data…
70,Operations Analyst Trainee,Paysafe,Contract,"Experience with internal data systems and programs. Analyze data, generate meaningful insight, and share results. Build relationships across the business."
71,Entry Level Business Analyst,Agama Solutions,$30 - $35 an hour,"Troubleshoot data issues by validating different data sources. Create dashboards, spreadsheet analysis, and presentations as requested by regional analysts."
72,Data Analyst- Strategy- Data & Analytics- REMOTE USA- EST Bu...,PRA Group,Full-time,"Ability to interpret data, identify trends, and report data findings. Knowledge of data preparation methods: handling of missing data and general imputation."
73,Data Analyst I,Black Knight,Full-time,"Deploy, troubleshoot and resolve data issues, conducting data research and ensure data quality. Has general understanding of principles in data analysis and…"
74,newJunior Purchasing Data Analyst (Remote),Lidl US,Full-time,"This team is responsible for finding the best solutions for the purchasing department to collect, process, and store purchasing data (pricing, competitor, item,…"
75,Business/Data Analyst (Entry Level),Agama Solutions,$30 an hour,Role: Business/Data Analyst (Entry Level). 1+ Years of IT Experience Strong analytical background and critical thinking.
76,newFinancial Data Analyst (7am CST Shift),Orion Advisor Solutions,Full-time,(Got to scrub data to clean it up!). Do you have microscopic attention to detail that will ensure timely and accurate reconciliation of data?
77,Data Analyst I,"Payspan, Inc",Full-time,"The Data Analyst I, is an entry level position. Work experience as a data analyst or in related field. High-level written and verbal communication skills."
78,Talent Development Data Analyst,Southern New Hampshire University,Full-time,Lead the descriptive analytics for all Talent Development program data and select other project data; provide diagnostic analyses as needed.
79,Jr. Business Analyst,Kajeet,Full-time,They need to be able to pull relevant data from many disparate sources and create a combined data set that will assist in decision making.
80,Business Analyst - Ad Sales Technology,NBCUniversal,,"Self-motivated and accountable, with a high level of commitment to responsibility. The Business Analyst - Ad Sales Technology is responsible for ensuring our Ad…"
81,Data Analyst,Roles at YipitData,,Be the primary owner running or building new data products end-to-end from data ingestion or web scraping through publishing reports and sending granular data…
82,"newData Solutions Analyst, US Analytics",Liberty Mutual Insurance,"$70,000 - $100,000 a year","Ensures data solutions include deliverables required to achieve high quality data. Designs, develops, and automates data solutions that enables effective self…"
83,"Software & Data Licensing Analyst, Remote",Liberty Mutual Insurance,"$90,000 - $115,000 a year","Experience in data and analytics technologies as well as insurance and market data is a plus. Receives, evaluates and responds to data-related inquiries by…"
84,Data Specialist,YipitData,,Be the primary owner running or building new data products end-to-end from data ingestion or web scraping through publishing reports and sending granular data…
85,Operations Analyst Trainee,Paysafe,Contract,"Experience with internal data systems and programs. Analyze data, generate meaningful insight, and share results. Build relationships across the business."
86,Entry Level Business Analyst,Agama Solutions,$30 - $35 an hour,"Troubleshoot data issues by validating different data sources. Create dashboards, spreadsheet analysis, and presentations as requested by regional analysts."
87,Data Analyst- Strategy- Data & Analytics- REMOTE USA- EST Bu...,PRA Group,Full-time,"Ability to interpret data, identify trends, and report data findings. Knowledge of data preparation methods: handling of missing data and general imputation."
88,Data Analyst I,Black Knight,Full-time,"Deploy, troubleshoot and resolve data issues, conducting data research and ensure data quality. Has general understanding of principles in data analysis and…"
89,newJunior Purchasing Data Analyst (Remote),Lidl US,Full-time,"This team is responsible for finding the best solutions for the purchasing department to collect, process, and store purchasing data (pricing, competitor, item,…"
90,Business/Data Analyst (Entry Level),Agama Solutions,$30 an hour,Role: Business/Data Analyst (Entry Level). 1+ Years of IT Experience Strong analytical background and critical thinking.
91,newFinancial Data Analyst (7am CST Shift),Orion Advisor Solutions,Full-time,(Got to scrub data to clean it up!). Do you have microscopic attention to detail that will ensure timely and accurate reconciliation of data?
92,Data Analyst I,"Payspan, Inc",Full-time,"The Data Analyst I, is an entry level position. Work experience as a data analyst or in related field. High-level written and verbal communication skills."
93,Talent Development Data Analyst,Southern New Hampshire University,Full-time,Lead the descriptive analytics for all Talent Development program data and select other project data; provide diagnostic analyses as needed.
94,Jr. Business Analyst,Kajeet,Full-time,They need to be able to pull relevant data from many disparate sources and create a combined data set that will assist in decision making.
95,Business Analyst - Ad Sales Technology,NBCUniversal,,"Self-motivated and accountable, with a high level of commitment to responsibility. The Business Analyst - Ad Sales Technology is responsible for ensuring our Ad…"
96,Data Analyst,Roles at YipitData,,Be the primary owner running or building new data products end-to-end from data ingestion or web scraping through publishing reports and sending granular data…
97,"newData Solutions Analyst, US Analytics",Liberty Mutual Insurance,"$70,000 - $100,000 a year","Ensures data solutions include deliverables required to achieve high quality data. Designs, develops, and automates data solutions that enables effective self…"
98,"Software & Data Licensing Analyst, Remote",Liberty Mutual Insurance,"$90,000 - $115,000 a year","Experience in data and analytics technologies as well as insurance and market data is a plus. Receives, evaluates and responds to data-related inquiries by…"
99,Data Specialist,YipitData,,Be the primary owner running or building new data products end-to-end from data ingestion or web scraping through publishing reports and sending granular data…
100,Operations Analyst Trainee,Paysafe,Contract,"Experience with internal data systems and programs. Analyze data, generate meaningful insight, and share results. Build relationships across the business."
101,Entry Level Business Analyst,Agama Solutions,$30 - $35 an hour,"Troubleshoot data issues by validating different data sources. Create dashboards, spreadsheet analysis, and presentations as requested by regional analysts."
102,Data Analyst- Strategy- Data & Analytics- REMOTE USA- EST Bu...,PRA Group,Full-time,"Ability to interpret data, identify trends, and report data findings. Knowledge of data preparation methods: handling of missing data and general imputation."
103,Data Analyst I,Black Knight,Full-time,"Deploy, troubleshoot and resolve data issues, conducting data research and ensure data quality. Has general understanding of principles in data analysis and…"
104,newJunior Purchasing Data Analyst (Remote),Lidl US,Full-time,"This team is responsible for finding the best solutions for the purchasing department to collect, process, and store purchasing data (pricing, competitor, item,…"
105,Business/Data Analyst (Entry Level),Agama Solutions,$30 an hour,Role: Business/Data Analyst (Entry Level). 1+ Years of IT Experience Strong analytical background and critical thinking.
106,Entry Level Business Analyst,Agama Solutions,$30 - $35 an hour,"Troubleshoot data issues by validating different data sources. Create dashboards, spreadsheet analysis, and presentations as requested by regional analysts."
107,Data Analyst I,"Payspan, Inc",Full-time,"The Data Analyst I, is an entry level position. Work experience as a data analyst or in related field. High-level written and verbal communication skills."
108,Jr. Business Analyst,Kajeet,Full-time,They need to be able to pull relevant data from many disparate sources and create a combined data set that will assist in decision making.
109,Business Analyst (Entry Level),Agama Solutions,Contract,"Troubleshoot data issues by validating different data sources. Create dashboards, spreadsheet analysis, and presentations as requested by regional analysts."
110,Data Analyst- Strategy- Data & Analytics- REMOTE USA- EST Bu...,PRA Group,Full-time,"Ability to interpret data, identify trends, and report data findings. Knowledge of data preparation methods: handling of missing data and general imputation."
111,Data Analyst,Roles at YipitData,,Be the primary owner running or building new data products end-to-end from data ingestion or web scraping through publishing reports and sending granular data…
112,Talent Development Data Analyst,Southern New Hampshire University,Full-time,Lead the descriptive analytics for all Talent Development program data and select other project data; provide diagnostic analyses as needed.
113,"newData Solutions Analyst, US Analytics",Liberty Mutual Insurance,"$70,000 - $100,000 a year","Ensures data solutions include deliverables required to achieve high quality data. Designs, develops, and automates data solutions that enables effective self…"
114,Data Specialist,YipitData,,Be the primary owner running or building new data products end-to-end from data ingestion or web scraping through publishing reports and sending granular data…
115,newFinancial Data Analyst (7am CST Shift),Orion Advisor Solutions,Full-time,(Got to scrub data to clean it up!). Do you have microscopic attention to detail that will ensure timely and accurate reconciliation of data?
116,"newBusiness Analyst Clinical Policy, REMOTE",AmeriHealth Caritas,,"Ability to prioritize, organize and summarize data. Complete branding of clinical policy documentation and update data fields."
117,"Business Analyst (Entry Level) Rotation Program - New York,...",Net at Work,Full-time,This program is an onboarding of 6-8 candidates into 6 business units. These individuals will have a full year of dedicated onboarding which will involve a…
118,newJunior Purchasing Data Analyst (Remote),Lidl US,Full-time,"This team is responsible for finding the best solutions for the purchasing department to collect, process, and store purchasing data (pricing, competitor, item,…"
119,Business Analyst - Ad Sales Technology,NBCUniversal,,"Self-motivated and accountable, with a high level of commitment to responsibility. The Business Analyst - Ad Sales Technology is responsible for ensuring our Ad…"
